id,short_name,name,country,max_distance_to_land,lat_min_box,lat_max_box,lon_min_box,lon_max_box,lat centre,lon centre,lwl_data,lwe_data,lswt_data,lic_data,lwlr_data
657,GLWD00000657,Höytiäinen,Finland,3.2,62.6458,63.0875,29.3958,29.8708,62.7347,29.7181,False,False,True,True,True
667,GLWD00000667,Sitidgi,Canada,6.5,68.3625,68.7125,-132.9125,-132.4208,68.5486,-132.6903,False,False,True,True,True
669,GLWD00000669,Utikuma,Canada,5.8,55.7375,55.9875,-115.6542,-115.1375,55.8542,-115.4236,False,False,True,True,True
672,GLWD00000672,Smoothstone,Canada,6.1,54.5292,54.7958,-107.0125,-106.6375,54.6431,-106.8625,False,False,True,True,True
674,GLWD00000674,Kisale,Congo The Democratic Republic of the,6.3,-8.4292,-8.1125,26.3042,26.6542,-8.2486,26.5125,True,False,True,True,True
676,GLWD00000676,La-ang,China,5.7,30.5542,30.8875,81.0708,81.3625,30.6597,81.2458,True,False,True,True,True
677,GLWD00000677,Bear,United States,5.7,41.8125,42.2042,-111.4458,-111.2125,42.0181,-111.3292,False,False,True,True,True
679,GLWD00000679,Võrtsjärv,Estonia,6.2,58.0292,58.4458,25.8792,26.1958,58.3042,26.0347,False,False,True,True,True
681,GLWD00000681,Ngoin,China,3.8,31.3208,31.7292,88.5042,88.8792,31.5792,88.7708,False,False,True,True,True
684,GLWD00000684,Kiskittogisu,Canada,6.1,54.0042,54.4458,-98.5292,-97.9875,54.1486,-98.3958,True,False,True,True,True
685,GLWD00000685,Paiku,China,5.6,28.7375,29.0625,85.4542,85.7125,28.8375,85.6042,False,False,True,True,True
687,GLWD00000687,George,Uganda,5.8,-0.1292,0.1208,29.9875,30.3458,0.0069,30.2292,True,False,True,True,True
688,GLWD00000688,Song-Kul,Kyrgyzstan,7.2,41.7208,41.9625,74.9792,75.3708,41.8458,75.1264,False,False,True,True,True
690,GLWD00000690,Prespa,Albania;North Macedonia;Greece,4.8,40.7292,41.0458,20.8625,21.1542,40.8875,21.0375,True,False,True,True,True
699,GLWD00000699,Pavylon,Russian Federation,4.6,68.2292,68.5542,151.4625,152.1792,68.4375,151.8681,False,False,True,True,True
702,GLWD00000702,Saint Lawrence,United States;Canada,3.6,44.4958,45.3792,-75.7708,-73.8625,45.2208,-74.2097,False,False,True,True,True
706,GLWD00000706,Beysugskiy,Russian Federation,5.6,46.0042,46.2958,38.2125,38.6208,46.0958,38.4764,False,False,True,True,True
708,GLWD00000708,Hong,China,4.6,29.6708,30.0042,113.1792,113.5042,29.8097,113.3292,True,False,True,True,True
710,GLWD00000710,Uddjaur,Sweden,2.8,65.7958,66.1542,17.2542,18.0458,66.0264,17.7264,False,False,True,True,True
713,GLWD00000713,Tobin,Canada,4.8,53.3708,53.7208,-104.0125,-103.3458,53.6014,-103.4653,False,False,True,True,True
718,GLWD00000718,Gozha,China,5.4,34.9292,35.1292,80.8792,81.2792,35.0181,80.9931,False,False,True,True,True
723,GLWD00000723,Enriquillo,Dominican Republic,5.1,18.3708,18.6042,-71.8708,-71.4375,18.4542,-71.5819,False,False,True,True,True
725,GLWD00000725,Dogai Coring,China,6.1,34.4375,34.6875,88.8125,89.2792,34.5542,88.9986,True,True,True,True,True
728,GLWD00000728,Red Deer,Canada,6.7,52.8458,53.0625,-101.5708,-101.1625,52.9625,-101.3542,False,False,True,True,True
729,GLWD00000729,Toktogul'skoye,Kyrgyzstan,5.5,41.6458,41.8958,72.6375,73.1875,41.8042,72.8431,True,True,True,True,True
730,GLWD00000730,Quill-Lakes,Canada,7.5,51.7292,52.0542,-104.5292,-104.1958,51.8486,-104.3625,False,False,True,True,True
731,GLWD00000731,Zapatosa,Colombia,5.6,8.9375,9.3875,-73.9875,-73.6125,9.0653,-73.8486,False,False,True,True,True
732,GLWD00000732,Zonag,China,7.3,35.4375,35.6625,91.7458,92.1458,35.5569,91.8931,True,False,True,True,True
733,GLWD00000733,Kiskittogisu,Canada,4.3,54.1708,54.5708,-98.7792,-97.9375,54.2625,-98.6125,True,False,True,True,True
