id;short_name;name;country;max_distance_to_land;lat_min_box;lat_max_box;lon_min_box;lon_max_box;lat.centre;lon.centre;lwl_data;lwe_data;lswt_data;lic_data;lwlr_data;mean_depth;surface_area;volume;phosphorous
1519;GLWD00001519;Derg;Ireland;1.9;52.7292;53.1208;-8.5375;-8.1292;52.9125;-8.4319;False;False;True;True;True;;;;
300013443;HYLA00013443;None;Ireland;1.6;53.7458;53.8625;-7.4125;-7.2458;53.8125;-7.3125;False;False;True;True;True;;;;
7889;GLWD00007889;Melvin;"Ireland;United Kingdom";1.3;54.3625;54.4958;-8.2875;-8.0542;54.4208;-8.1264;False;False;True;True;True;8.3;21.97;1.83;
505;GLWD00000505;Garda;Italy;5.2;45.4042;45.9208;10.4708;10.9125;45.5319;10.6542;True;False;True;True;True;;367.95;4903.935;
1529;GLWD00001529;Trasimeno;Italy;4.3;43.0458;43.2375;11.9792;12.2208;43.1514;12.0986;False;False;True;True;True;;128;586;
1596;GLWD00001596;Bolsena;Italy;5.2;42.4958;42.6875;11.8208;12.0375;42.6042;11.9292;False;False;True;True;True;;;;
1941;GLWD00001941;Valli-Di-Comacchio;Italy;3.8;44.5125;44.7292;12.0625;12.2875;44.6208;12.1681;False;False;True;True;True;;;;
2927;GLWD00002927;Varano;Italy;3.7;41.8042;41.9542;15.6375;15.8458;41.8792;15.7597;False;False;True;True;True;;;;
3307;GLWD00003307;Bracciano;Italy;3.9;42.0458;42.2042;12.1375;12.3208;42.1236;12.2292;False;False;True;True;True;;;;
15600;GLWD00015600;Idro;Italy;0.9;45.7042;45.8542;10.4375;10.5708;45.7792;10.5125;False;False;True;True;True;60;11.4;684;
208840;GLWD00208840;Mantuas;Italy;0.5;45.0958;45.2125;10.7042;10.8542;45.1625;10.7792;False;False;False;True;True;;;;
300001274;HYLA00001274;Como;Italy;2;45.8153;46.2292;9.0681;9.4569;46.0069;9.2597;False;False;True;True;True;;145.9;22500;
300014185;HYLA00014185;Iseo;Italy;1.7;45.6208;45.8625;9.9208;10.1458;45.7375;10.0708;True;False;True;True;True;;61.8;7600;
948;GLWD00000948;Maggiore;"Italy;Switzerland";2.4;45.6875;46.2208;8.4458;8.8958;45.9903;8.6819;False;False;True;True;True;176;213;37500;
2167;GLWD00002167;Lub?ns;Latvia;3.8;56.6708;56.8625;26.7208;27.0292;56.7764;26.8847;False;False;True;True;True;;;;
3379;GLWD00003379;Raznas;Latvia;3.2;56.2458;56.4208;27.3042;27.5542;56.3292;27.4569;False;False;True;True;True;8.7;57.6;405;
300013035;HYLA00013035;None;Latvia;1.8;57.3875;57.5125;27.0125;27.1625;57.4542;27.0875;False;False;True;True;True;;;;
300013112;HYLA00013112;None;Latvia;1.5;56.5042;56.6125;27.5375;27.6792;56.5625;27.6042;False;False;True;True;True;;;;
300013166;HYLA00013166;None;Latvia;1.5;55.9625;56.0792;27.2292;27.4292;56.0208;27.3292;False;False;True;True;True;;;;
300013184;HYLA00013184;None;Lithuania;1.6;55.8125;55.9208;23.2292;23.3792;55.8708;23.3042;False;False;True;True;True;;;;
100000012;GLBL00000012;IJsselmeer;Netherlands;10.7;52.4958;53.1042;5.0125;5.7458;52.5431;5.2347;False;False;True;True;True;4.5;1136;5110;
100000016;GLBL00000016;Markermeer;Netherlands;10.7;52.2875;52.7292;4.9375;5.5125;52.5431;5.2347;False;False;True;True;True;3.9;101.6;396;
518;GLWD00000518;Mjøsa;Norway;3.8;60.3625;61.1625;10.3792;11.3208;60.6819;11.0431;False;False;True;True;True;;;;
1013;GLWD00001013;Røssvatnet;Norway;3.5;65.6125;65.9542;13.7042;14.4792;65.7681;14.0097;False;False;True;True;True;;;;
1392;GLWD00001392;Tyrifjorden;Norway;2.7;59.8625;60.1708;9.9375;10.3875;60.0264;10.2097;False;False;True;True;True;;;;
200000067;CGL200000067;Borgenfjord;Norway;1.5;63.8208;63.9875;11.2625;11.4208;63.8792;11.3375;False;False;True;True;True;;;;
300001038;HYLA00001038;Altevatn;Norway;1.3;68.3458;68.7125;18.8542;19.9708;68.4653;19.7736;False;False;True;True;True;;;;
300001094;HYLA00001094;Snasvatnet;Norway;2.2;64.0542;64.3042;11.5375;12.4125;64.1986;12.1069;False;False;True;True;True;;;;
300001127;HYLA00001127;Femunden;Norway;2.4;61.8792;62.4625;11.6708;12.0208;62.1069;11.7625;False;False;True;True;True;;;;
300001153;HYLA00001153;Randsfjorden;Norway;1.8;60.2042;60.8375;10.1042;10.5125;60.4681;10.4236;False;False;True;True;True;;;;
